hp,wt,gear,cyl,mpg
110,2.62,4,6,21
110,2.875,4,6,21
93,2.32,4,4,22.8
110,3.215,3,6,21.4
175,3.44,3,8,18.7
105,3.46,3,6,18.1
245,3.57,3,8,14.3
62,3.19,4,4,24.4
95,3.15,4,4,22.8
123,3.44,4,6,19.2
123,3.44,4,6,17.8
180,4.07,3,8,16.4
180,3.73,3,8,17.3
180,3.78,3,8,15.2
205,5.25,3,8,10.4
215,5.424,3,8,10.4
230,5.345,3,8,14.7
66,2.2,4,4,32.4
52,1.615,4,4,30.4
65,1.835,4,4,33.9
97,2.465,3,4,21.5
150,3.52,3,8,15.5
150,3.435,3,8,15.2
245,3.84,3,8,13.3
175,3.845,3,8,19.2
66,1.935,4,4,27.3
91,2.14,5,4,26
113,1.513,5,4,30.4
264,3.17,5,8,15.8
175,2.77,5,6,19.7
335,3.57,5,8,15
109,2.78,4,4,21.4
